OPENSECRETS.INDUSTRY,YEAR,STATE,FIRST,LAST,DISTRICT,CANDIDATE,PARTY,AMOUNT,INDUSTRYPERCENT,CANDTOTAL,INCUMBENT,VOTES,PERCENT,PRIMARY.INDUSTRY,SECONDARY.INDUSTRY1,SECONDARY.INDUSTRY2,SECONDARY.INDUSTRY3,WINNER,TotalRaceFunds,RaceFundPerc,CANDTOTALLEVEL,VOTESLEVEL,INDRANK,X,Sector,AdjClose,Group,YrPercentChange,RelYear
Defense Aerospace,2004,AZ,TRENT,FRANKS,2,TRENT FRANKS,R,32000,0.077348494,413712,1,165260,0.5917,Industrials,,,,1,485262,0.852553878,Very Low,Mid-High,5,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Business Services,2004,AZ,RANDY,CAMACHO,2,RANDY CAMACHO,D,4500,0.062893082,71550,0,107406,0.3846,Consumer Discretionary,Industrials,,,0,485262,0.147446122,Very Low,Mid-Low,2,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Crop Production & Basic Processing,2004,AZ,TRENT,FRANKS,2,TRENT FRANKS,R,35763,0.086444193,413712,1,165260,0.5917,Consumer Staples,,,,1,485262,0.852553878,Very Low,Mid-High,4,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Oil & Gas,2004,AZ,JOHN,SHADEGG,3,JOHN SHADEGG,R,23500,0.041039146,572624,1,181012,0.801,Energy,,,,1,572624,1,Mid-Low,Mid-High,7,13,Energy,1348.010537,Values0506b,0.628528397,2004
Accountants,2004,AZ,JOHN,SHADEGG,3,JOHN SHADEGG,R,117200,0.204671827,572624,1,181012,0.801,Financials,,,,1,572624,1,Mid-Low,Mid-High,2,14,Financials,5555.739999,Values0506b,0.351064506,2004
Telephone Utilities,2004,AZ,JOHN,SHADEGG,3,JOHN SHADEGG,R,13000,0.022702506,572624,1,181012,0.801,Telecommunication Services,,,,1,572624,1,Mid-Low,Mid-High,8,19,Telecommunication Services,75.598322,Values0506b,0.243061426,2004
Electric Utilities,2004,AZ,JOHN,SHADEGG,3,JOHN SHADEGG,R,33200,0.057978709,572624,1,181012,0.801,Utilities,,,,1,572624,1,Mid-Low,Mid-High,6,20,Utilities,846.831177,Values0506b,0.387572063,2004
Health Services/HMOs,2004,AZ,JOHN,SHADEGG,3,JOHN SHADEGG,R,45940,0.080227165,572624,1,181012,0.801,Health Care,,,,1,572624,1,Mid-Low,Mid-High,5,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Automotive,2004,AZ,JOHN,SHADEGG,3,JOHN SHADEGG,R,115199,0.201177387,572624,1,181012,0.801,Consumer Discretionary,,,,1,572624,1,Mid-Low,Mid-High,3,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
"Beer, Wine & Liquor",2004,AZ,ED,PASTOR,4,ED PASTOR,D,37500,0.067656435,554271,1,77150,0.7012,Consumer Staples,,,,1,554271,1,Mid-Low,Mid-Low,5,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Business Services,2004,AZ,ED,PASTOR,4,ED PASTOR,D,42916,0.077427829,554271,1,77150,0.7012,Consumer Discretionary,Industrials,,,1,554271,1,Mid-Low,Mid-Low,4,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Commercial Banks,2004,AZ,ED,PASTOR,4,ED PASTOR,D,14500,0.026160488,554271,1,77150,0.7012,Financials,,,,1,554271,1,Mid-Low,Mid-Low,7,14,Financials,5555.739999,Values0506b,0.351064506,2004
Air Transport,2004,AZ,ED,PASTOR,4,ED PASTOR,D,74400,0.134230367,554271,1,77150,0.7012,Industrials,,,,1,554271,1,Mid-Low,Mid-Low,3,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Electric Utilities,2004,AZ,ED,PASTOR,4,ED PASTOR,D,28450,0.051328682,554271,1,77150,0.7012,Utilities,,,,1,554271,1,Mid-Low,Mid-Low,6,20,Utilities,846.831177,Values0506b,0.387572063,2004
Electric Utilities,2004,AZ,J,HAYWORTH,5,J D HAYWORTH,R,21000,0.027507578,763426,1,159455,0.595,Utilities,,,,1,763426,1,Mid-Low,Mid-High,7,20,Utilities,846.831177,Values0506b,0.387572063,2004
Accountants,2004,AZ,J,HAYWORTH,5,J D HAYWORTH,R,182958,0.239653876,763426,1,159455,0.595,Financials,,,,1,763426,1,Mid-Low,Mid-High,1,14,Financials,5555.739999,Values0506b,0.351064506,2004
Air Transport,2004,AZ,J,HAYWORTH,5,J D HAYWORTH,R,47580,0.062324312,763426,1,159455,0.595,Industrials,,,,1,763426,1,Mid-Low,Mid-High,5,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Automotive,2004,AZ,J,HAYWORTH,5,J D HAYWORTH,R,157136,0.205830035,763426,1,159455,0.595,Consumer Discretionary,,,,1,763426,1,Mid-Low,Mid-High,3,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Oil & Gas,2004,AZ,J,HAYWORTH,5,J D HAYWORTH,R,19450,0.025477256,763426,1,159455,0.595,Energy,,,,1,763426,1,Mid-Low,Mid-High,8,13,Energy,1348.010537,Values0506b,0.628528397,2004
Health Services/HMOs,2004,AZ,J,HAYWORTH,5,J D HAYWORTH,R,42080,0.055119946,763426,1,159455,0.595,Health Care,,,,1,763426,1,Mid-Low,Mid-High,6,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Air Transport,2004,AZ,JEFF,FLAKE,6,JEFF FLAKE,R,32200,0.083055621,387692,1,202882,0.7938,Industrials,,,,1,387692,1,Very Low,High,5,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Commercial Banks,2004,AZ,JEFF,FLAKE,6,JEFF FLAKE,R,54017,0.139329674,387692,1,202882,0.7938,Financials,,,,1,387692,1,Very Low,High,4,14,Financials,5555.739999,Values0506b,0.351064506,2004
Business Services,2004,AZ,JEFF,FLAKE,6,JEFF FLAKE,R,60450,0.155922743,387692,1,202882,0.7938,Consumer Discretionary,Industrials,,,1,387692,1,Very Low,High,3,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Crop Production & Basic Processing,2004,AZ,JEFF,FLAKE,6,JEFF FLAKE,R,26250,0.067708387,387692,1,202882,0.7938,Consumer Staples,,,,1,387692,1,Very Low,High,6,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Oil & Gas,2004,AZ,JEFF,FLAKE,6,JEFF FLAKE,R,9750,0.025148829,387692,1,202882,0.7938,Energy,,,,1,387692,1,Very Low,High,7,13,Energy,1348.010537,Values0506b,0.628528397,2004
Electric Utilities,2004,AZ,JEFF,FLAKE,6,JEFF FLAKE,R,6250,0.016121045,387692,1,202882,0.7938,Utilities,,,,1,387692,1,Very Low,High,8,20,Utilities,846.831177,Values0506b,0.387572063,2004
Misc Finance,2004,AZ,RAUL,GRIJALVA,7,RAUL M GRIJALVA,D,13900,0.032875831,422803,1,108868,0.6206,Financials,,,,1,422803,1,Very Low,Mid-Low,4,14,Financials,5555.739999,Values0506b,0.351064506,2004
Crop Production & Basic Processing,2004,AZ,RAUL,GRIJALVA,7,RAUL M GRIJALVA,D,10500,0.024834261,422803,1,108868,0.6206,Consumer Staples,,,,1,422803,1,Very Low,Mid-Low,5,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Electric Utilities,2004,AZ,RAUL,GRIJALVA,7,RAUL M GRIJALVA,D,10250,0.024242969,422803,1,108868,0.6206,Utilities,,,,1,422803,1,Very Low,Mid-Low,6,20,Utilities,846.831177,Values0506b,0.387572063,2004
Construction Services,2004,AZ,RAUL,GRIJALVA,7,RAUL M GRIJALVA,D,8350,0.01974915,422803,1,108868,0.6206,Industrials,,,,1,422803,1,Very Low,Mid-Low,7,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Business Services,2004,AZ,RAUL,GRIJALVA,7,RAUL M GRIJALVA,D,33110,0.078310703,422803,1,108868,0.6206,Consumer Discretionary,Industrials,,,1,422803,1,Very Low,Mid-Low,3,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Insurance,2004,AZ,JIM,KOLBE,8,JIM KOLBE,R,47150,0.075654131,623231,1,183363,0.6036,Financials,,,,1,671381,0.928282153,Mid-Low,Mid-High,4,14,Financials,5555.739999,Values0506b,0.351064506,2004
"Beer, Wine & Liquor",2004,AZ,JIM,KOLBE,8,JIM KOLBE,R,21509,0.034512083,623231,1,183363,0.6036,Consumer Staples,,,,1,671381,0.928282153,Mid-Low,Mid-High,7,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Printing & Publishing,2004,AZ,EVA,BACAL,8,EVA K BACAL,D,1250,0.02596054,48150,0,109963,0.362,Consumer Discretionary,Industrials,,,0,671381,0.071717847,Very Low,Mid-Low,5,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Oil & Gas,2004,AZ,JIM,KOLBE,8,JIM KOLBE,R,20149,0.032329907,623231,1,183363,0.6036,Energy,,,,1,671381,0.928282153,Mid-Low,Mid-High,8,13,Energy,1348.010537,Values0506b,0.628528397,2004
Defense Aerospace,2004,AZ,JIM,KOLBE,8,JIM KOLBE,R,39799,0.063859147,623231,1,183363,0.6036,Industrials,,,,1,671381,0.928282153,Mid-Low,Mid-High,5,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Crop Production & Basic Processing,2004,AZ,EVA,BACAL,8,EVA K BACAL,D,500,0.010384216,48150,0,109963,0.362,Consumer Staples,,,,0,671381,0.071717847,Very Low,Mid-Low,7,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Automotive,2004,AZ,JIM,KOLBE,8,JIM KOLBE,R,148979,0.239042987,623231,1,183363,0.6036,Consumer Discretionary,,,,1,671381,0.928282153,Mid-Low,Mid-High,3,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Misc Services,2004,AZ,EVA,BACAL,8,EVA K BACAL,D,2000,0.041536864,48150,0,109963,0.362,Industrials,,,,0,671381,0.071717847,Very Low,Mid-Low,4,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Electric Utilities,2004,AZ,JIM,KOLBE,8,JIM KOLBE,R,23500,0.037706725,623231,1,183363,0.6036,Utilities,,,,1,671381,0.928282153,Mid-Low,Mid-High,6,20,Utilities,846.831177,Values0506b,0.387572063,2004
Misc Finance,2004,AZ,EVA,BACAL,8,EVA K BACAL,D,6800,0.141225337,48150,0,109963,0.362,Financials,,,,0,671381,0.071717847,Very Low,Mid-Low,3,14,Financials,5555.739999,Values0506b,0.351064506,2004
Hospitals/Nursing Homes,2004,AZ,EVA,BACAL,8,EVA K BACAL,D,200,0.004153686,48150,0,109963,0.362,Health Care,,,,0,671381,0.071717847,Very Low,Mid-Low,8,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Casinos/Gambling,2004,CA,MIKE,THOMPSON,1,MIKE THOMPSON,D,46003,0.078059168,589335,1,189366,0.6692,Consumer Discretionary,,,,1,596185,0.988510278,Mid-Low,Mid-High,5,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Construction Services,2004,CA,LAWRENCE,WIESNER,1,LAWRENCE R WIESNER,R,1000,0.145985401,6850,0,79970,0.2826,Industrials,,,,0,596185,0.011489722,Very Low,Mid-Low,2,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Accountants,2004,CA,MIKE,THOMPSON,1,MIKE THOMPSON,D,50465,0.085630414,589335,1,189366,0.6692,Financials,,,,1,596185,0.988510278,Mid-Low,Mid-High,4,14,Financials,5555.739999,Values0506b,0.351064506,2004
Air Transport,2004,CA,MIKE,THOMPSON,1,MIKE THOMPSON,D,19749,0.033510652,589335,1,189366,0.6692,Industrials,,,,1,596185,0.988510278,Mid-Low,Mid-High,6,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Agricultural Services/Products,2004,CA,MIKE,THOMPSON,1,MIKE THOMPSON,D,205708,0.349051049,589335,1,189366,0.6692,Consumer Staples,,,,1,596185,0.988510278,Mid-Low,Mid-High,1,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Misc Finance,2004,CA,LAWRENCE,WIESNER,1,LAWRENCE R WIESNER,R,3850,0.562043796,6850,0,79970,0.2826,Financials,,,,0,596185,0.011489722,Very Low,Mid-Low,1,14,Financials,5555.739999,Values0506b,0.351064506,2004
Forestry & Forest Products,2004,CA,MIKE,THOMPSON,1,MIKE THOMPSON,D,16120,0.027352864,589335,1,189366,0.6692,Materials,,,,1,596185,0.988510278,Mid-Low,Mid-High,7,18,Materials,994.347645,Values0506b,0.30380417,2004
Air Transport,2004,CA,ELLEN,TAUSCHER,10,ELLEN O TAUSCHER,D,59375,0.123384058,481221,1,182750,0.6571,Industrials,,,,1,503221,0.956281634,Mid-Low,Mid-High,4,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Computers/Internet,2004,CA,ELLEN,TAUSCHER,10,ELLEN O TAUSCHER,D,44794,0.093084051,481221,1,182750,0.6571,Consumer Discretionary,Information Technology,,,1,503221,0.956281634,Mid-Low,Mid-High,5,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Business Services,2004,CA,JEFF,KETELSON,10,JEFF KETELSON,R,20000,0.909090909,22000,0,95349,0.3429,Consumer Discretionary,Industrials,,,0,503221,0.043718366,Very Low,Mid-Low,1,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Oil & Gas,2004,CA,ELLEN,TAUSCHER,10,ELLEN O TAUSCHER,D,14000,0.029092662,481221,1,182750,0.6571,Energy,,,,1,503221,0.956281634,Mid-Low,Mid-High,7,13,Energy,1348.010537,Values0506b,0.628528397,2004
Pharmaceuticals/Health Products,2004,CA,ELLEN,TAUSCHER,10,ELLEN O TAUSCHER,D,27999,0.058183246,481221,1,182750,0.6571,Health Care,,,,1,503221,0.956281634,Mid-Low,Mid-High,6,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Accountants,2004,CA,ELLEN,TAUSCHER,10,ELLEN O TAUSCHER,D,79000,0.164165737,481221,1,182750,0.6571,Financials,,,,1,503221,0.956281634,Mid-Low,Mid-High,3,14,Financials,5555.739999,Values0506b,0.351064506,2004
Forestry & Forest Products,2004,CA,RICHARD,POMBO,11,RICHARD W POMBO,R,58159,0.087279696,666352,1,163582,0.6123,Materials,,,,1,721484,0.923585277,Mid-Low,Mid-High,5,18,Materials,994.347645,Values0506b,0.30380417,2004
Insurance,2004,CA,JERRY,MCNERNEY,11,JERRY MCNERNEY,D,1250,0.022672858,55132,0,103587,0.3877,Financials,,,,0,721484,0.076414723,Very Low,Mid-Low,5,14,Financials,5555.739999,Values0506b,0.351064506,2004
Home Builders,2004,CA,RICHARD,POMBO,11,RICHARD W POMBO,R,36870,0.055331116,666352,1,163582,0.6123,Industrials,,,,1,721484,0.923585277,Mid-Low,Mid-High,7,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Automotive,2004,CA,RICHARD,POMBO,11,RICHARD W POMBO,R,121175,0.181848332,666352,1,163582,0.6123,Consumer Discretionary,,,,1,721484,0.923585277,Mid-Low,Mid-High,3,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Computers/Internet,2004,CA,JERRY,MCNERNEY,11,JERRY MCNERNEY,D,4800,0.087063774,55132,0,103587,0.3877,Consumer Discretionary,Information Technology,,,0,721484,0.076414723,Very Low,Mid-Low,3,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Agricultural Services/Products,2004,CA,RICHARD,POMBO,11,RICHARD W POMBO,R,134727,0.202185932,666352,1,163582,0.6123,Consumer Staples,,,,1,721484,0.923585277,Mid-Low,Mid-High,2,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Oil & Gas,2004,CA,RICHARD,POMBO,11,RICHARD W POMBO,R,85045,0.12762774,666352,1,163582,0.6123,Energy,,,,1,721484,0.923585277,Mid-Low,Mid-High,4,13,Energy,1348.010537,Values0506b,0.628528397,2004
Hospitals/Nursing Homes,2004,CA,JERRY,MCNERNEY,11,JERRY MCNERNEY,D,1000,0.018138286,55132,0,103587,0.3877,Health Care,,,,0,721484,0.076414723,Very Low,Mid-Low,6,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Misc Business,2004,CA,JERRY,MCNERNEY,11,JERRY MCNERNEY,D,250,0.004534572,55132,0,103587,0.3877,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,721484,0.076414723,Very Low,Mid-Low,7,18,Materials,994.347645,Values0506b,0.30380417,2004
Construction Services,2004,CA,JERRY,MCNERNEY,11,JERRY MCNERNEY,D,3600,0.065297831,55132,0,103587,0.3877,Industrials,,,,0,721484,0.076414723,Very Low,Mid-Low,4,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Electric Utilities,2004,CA,RICHARD,POMBO,11,RICHARD W POMBO,R,37700,0.056576704,666352,1,163582,0.6123,Utilities,,,,1,721484,0.923585277,Mid-Low,Mid-High,6,20,Utilities,846.831177,Values0506b,0.387572063,2004
Accountants,2004,CA,TOM,LANTOS,12,TOM LANTOS,D,254460,0.187070479,1360236,1,171852,0.6803,Financials,,,,1,1370951,0.992184257,High,Mid-High,3,14,Financials,5555.739999,Values0506b,0.351064506,2004
Pharmaceuticals/Health Products,2004,CA,TOM,LANTOS,12,TOM LANTOS,D,20000,0.014703331,1360236,1,171852,0.6803,Health Care,,,,1,1370951,0.992184257,High,Mid-High,7,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Business Services,2004,CA,TOM,LANTOS,12,TOM LANTOS,D,231298,0.170042551,1360236,1,171852,0.6803,Consumer Discretionary,Industrials,,,1,1370951,0.992184257,High,Mid-High,4,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Oil & Gas,2004,CA,TOM,LANTOS,12,TOM LANTOS,D,33250,0.024444288,1360236,1,171852,0.6803,Energy,,,,1,1370951,0.992184257,High,Mid-High,5,13,Energy,1348.010537,Values0506b,0.628528397,2004
Business Services,2004,CA,PAT,GRAY,12,PAT GRAY,I,1200,0.111992534,10715,0,23038,0.0912,Consumer Discretionary,Industrials,,,0,1370951,0.007815743,Very Low,Very Low,2,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Food & Beverage,2004,CA,TOM,LANTOS,12,TOM LANTOS,D,24300,0.017864547,1360236,1,171852,0.6803,Consumer Staples,,,,1,1370951,0.992184257,High,Mid-High,6,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Misc Business,2004,CA,TOM,LANTOS,12,TOM LANTOS,D,20000,0.014703331,1360236,1,171852,0.6803,Materials,Consumer Discretionary,Consumer Staples,Industrials,1,1370951,0.992184257,High,Mid-High,8,18,Materials,994.347645,Values0506b,0.30380417,2004
Food & Beverage,2004,CA,GEORGE,BRUNO,13,GEORGE I BRUNO,R,250,0.019193858,13025,0,48439,0.2399,Consumer Staples,,,,0,325435,0.040023353,Very Low,Very Low,7,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Health Services/HMOs,2004,CA,PETE,STARK,13,PETE STARK,D,20500,0.065618898,312410,1,144605,0.7161,Health Care,,,,1,325435,0.959976647,Very Low,Mid-High,4,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Automotive,2004,CA,GEORGE,BRUNO,13,GEORGE I BRUNO,R,1275,0.097888676,13025,0,48439,0.2399,Consumer Discretionary,,,,0,325435,0.040023353,Very Low,Very Low,3,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Construction Services,2004,CA,GEORGE,BRUNO,13,GEORGE I BRUNO,R,250,0.019193858,13025,0,48439,0.2399,Industrials,,,,0,325435,0.040023353,Very Low,Very Low,8,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Building Materials & Equipment,2004,CA,GEORGE,BRUNO,13,GEORGE I BRUNO,R,800,0.061420345,13025,0,48439,0.2399,Materials,Industrials,,,0,325435,0.040023353,Very Low,Very Low,5,18,Materials,994.347645,Values0506b,0.30380417,2004
Insurance,2004,CA,PETE,STARK,13,PETE STARK,D,22000,0.070420281,312410,1,144605,0.7161,Financials,,,,1,325435,0.959976647,Very Low,Mid-High,3,14,Financials,5555.739999,Values0506b,0.351064506,2004
Electric Utilities,2004,CA,PETE,STARK,13,PETE STARK,D,2000,0.006401844,312410,1,144605,0.7161,Utilities,,,,1,325435,0.959976647,Very Low,Mid-High,7,20,Utilities,846.831177,Values0506b,0.387572063,2004
Crop Production & Basic Processing,2004,CA,PETE,STARK,13,PETE STARK,D,3000,0.009602766,312410,1,144605,0.7161,Consumer Staples,,,,1,325435,0.959976647,Very Low,Mid-High,6,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Securities & Investment,2004,CA,GEORGE,BRUNO,13,GEORGE I BRUNO,R,1000,0.076775432,13025,0,48439,0.2399,Financials,,,,0,325435,0.040023353,Very Low,Very Low,4,14,Financials,5555.739999,Values0506b,0.351064506,2004
Electronics Mfg & Services,2004,CA,GEORGE,BRUNO,13,GEORGE I BRUNO,R,300,0.02303263,13025,0,48439,0.2399,Information Technology,Consumer Discretionary,,,0,325435,0.040023353,Very Low,Very Low,6,17,Information Technology,1575.122081,Values0506b,0.175743829,2004
Telephone Utilities,2004,CA,CHRIS,HAUGEN,14,CHRIS HAUGEN,R,3900,0.15694165,24850,0,69564,0.2656,Telecommunication Services,,,,0,745939,0.033313716,Very Low,Mid-Low,3,19,Telecommunication Services,75.598322,Values0506b,0.243061426,2004
Health Services/HMOs,2004,CA,ANNA,ESHOO,14,ANNA ESHOO,D,127732,0.177137635,721089,1,182712,0.6977,Health Care,,,,1,745939,0.966686284,Mid-Low,Mid-High,2,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Computers/Internet,2004,CA,ANNA,ESHOO,14,ANNA ESHOO,D,122700,0.170159301,721089,1,182712,0.6977,Consumer Discretionary,Information Technology,,,1,745939,0.966686284,Mid-Low,Mid-High,3,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Misc Business,2004,CA,CHRIS,HAUGEN,14,CHRIS HAUGEN,R,550,0.022132797,24850,0,69564,0.2656,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,745939,0.033313716,Very Low,Mid-Low,5,18,Materials,994.347645,Values0506b,0.30380417,2004
Misc Finance,2004,CA,CHRIS,HAUGEN,14,CHRIS HAUGEN,R,500,0.020120724,24850,0,69564,0.2656,Financials,,,,0,745939,0.033313716,Very Low,Mid-Low,6,14,Financials,5555.739999,Values0506b,0.351064506,2004
Telecom Services & Equipment,2004,CA,ANNA,ESHOO,14,ANNA ESHOO,D,35000,0.048537698,721089,1,182712,0.6977,Telecommunication Services,,,,1,745939,0.966686284,Mid-Low,Mid-High,6,19,Telecommunication Services,75.598322,Values0506b,0.243061426,2004
Electric Utilities,2004,CA,ANNA,ESHOO,14,ANNA ESHOO,D,16250,0.02253536,721089,1,182712,0.6977,Utilities,,,,1,745939,0.966686284,Mid-Low,Mid-High,8,20,Utilities,846.831177,Values0506b,0.387572063,2004
Defense Aerospace,2004,CA,ANNA,ESHOO,14,ANNA ESHOO,D,17000,0.023575453,721089,1,182712,0.6977,Industrials,,,,1,745939,0.966686284,Mid-Low,Mid-High,7,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Computers/Internet,2004,CA,CHRIS,HAUGEN,14,CHRIS HAUGEN,R,10750,0.432595573,24850,0,69564,0.2656,Consumer Discretionary,Information Technology,,,0,745939,0.033313716,Very Low,Mid-Low,1,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Food & Beverage,2004,CA,CHRIS,HAUGEN,14,CHRIS HAUGEN,R,250,0.010060362,24850,0,69564,0.2656,Consumer Staples,,,,0,745939,0.033313716,Very Low,Mid-Low,7,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Electronics Mfg & Services,2004,CA,ANNA,ESHOO,14,ANNA ESHOO,D,13000,0.018028288,721089,1,182712,0.6977,Information Technology,Consumer Discretionary,,,1,745939,0.966686284,Mid-Low,Mid-High,9,17,Information Technology,1575.122081,Values0506b,0.175743829,2004
Accountants,2004,CA,ANNA,ESHOO,14,ANNA ESHOO,D,82500,0.114410288,721089,1,182712,0.6977,Financials,,,,1,745939,0.966686284,Mid-Low,Mid-High,5,14,Financials,5555.739999,Values0506b,0.351064506,2004
Lodging/Tourism,2004,CA,RAYMOND,CHUKWU,15,RAYMOND LEMMY CHUKWU,R,7200,0.19123506,37650,0,59953,0.2797,Consumer Discretionary,,,,0,370498,0.101619982,Very Low,Very Low,3,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Accountants,2004,CA,MIKE,HONDA,15,MIKE HONDA,D,24500,0.073607172,332848,1,154385,0.7203,Financials,,,,1,370498,0.898380018,Very Low,Mid-High,5,14,Financials,5555.739999,Values0506b,0.351064506,2004
Pharmaceuticals/Health Products,2004,CA,MIKE,HONDA,15,MIKE HONDA,D,15500,0.046567803,332848,1,154385,0.7203,Health Care,,,,1,370498,0.898380018,Very Low,Mid-High,6,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Business Services,2004,CA,MIKE,HONDA,15,MIKE HONDA,D,36829,0.110648104,332848,1,154385,0.7203,Consumer Discretionary,Industrials,,,1,370498,0.898380018,Very Low,Mid-High,3,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Securities & Investment,2004,CA,RAYMOND,CHUKWU,15,RAYMOND LEMMY CHUKWU,R,1250,0.033200531,37650,0,59953,0.2797,Financials,,,,0,370498,0.101619982,Very Low,Very Low,6,14,Financials,5555.739999,Values0506b,0.351064506,2004
Food Processing & Sales,2004,CA,MIKE,HONDA,15,MIKE HONDA,D,7250,0.021781714,332848,1,154385,0.7203,Consumer Staples,,,,1,370498,0.898380018,Very Low,Mid-High,7,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
