[state, district, year]=al, 01, 2004
Jo Bonner (R)
Industry	Total	
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 12, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 13, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 14, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 15, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 16, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 17, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 18, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 19, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 20, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 21, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 22, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 23, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 24, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 25, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 26, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 27, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 28, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 29, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 30, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 31, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 32, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 33, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 34, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 35, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 36, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 37, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 38, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 39, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 40, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 41, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 42, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 43, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 44, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 45, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 46, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 47, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 48, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 49, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 50, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 51, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 52, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 53, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 54, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 55, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 56, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 57, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
Forestry & Forest Products	$19,400
Misc Defense	$18,500
Building Materials & Equipment	$17,800
Leadership PACs	$17,500
Computers/Internet	$15,600
Construction Services	$14,750

[state, district, year]=al, 58, 2010
Jo Bonner (R)
Industry	Total	
Health Professionals	$59,500
Lawyers/Law Firms	$47,400
Retired	$42,150
Real Estate	$39,600
Commercial Banks	$35,250
Insurance	$32,550
Lobbyists	$31,400
Automotive	$29,200
Defense Aerospace	$27,000
Education	$26,683
Electric Utilities	$23,000
Misc Manufacturing & Distributing	$21,750
Crop Production & Basic Processing	$20,500
Sea Transport	$20,500
